,status,cpc,date,ts_clicks,tr_clicks,tr_conversions,impressions,lp_clicks,cost,tr_revenue,TR.NET,TR.ROI,LP.CTR,CTR,Status_Algo,Reason,Coeff_Performance,Bid_suggestion,EPC
36,RUNNING,NA,11/12/2019,43,0,0,37331,0,36.55,0,-36.55,-1,0,0.001151858,PAUSED,PB,1,No Sugg,0
37,RUNNING,6,11/13/2019,6,6,0,0,0,36,0,-36,-1,0,6,RUNNING,NED,1,No Sugg,0
38,RUNNING,6.14,11/13/2019,6,7,0,0,0,36,0,-36,-1,0,6,RUNNING,NED,1,No Sugg,0
39,RUNNING,NA,11/13/2019,90,0,0,6809,0,31.5,0,-31.5,-1,0,0.0132178,PAUSED,PB,1,No Sugg,0
40,PAUSED,0.039,11/18/2019,154,151,0,90952,16,30.87,0,-30.87,-1,0.105960265,0.001693201,PAUSED,NC,1.400229114,No Sugg,0
41,RUNNING,NA,11/13/2019,155,0,0,79436,0,30.18,0,-30.18,-1,0,0.001951256,PAUSED,PB,1,No Sugg,0
42,RUNNING,NA,11/12/2019,75,0,0,71120,0,29.85,0,-29.85,-1,0,0.001054556,PAUSED,PB,1,No Sugg,0
43,RUNNING,0.229,11/18/2019,122,124,0,4463,55,27.359,0,-27.359,-1,0.443548387,0.027335873,PAUSED,NC,2.881061422,No Sugg,0
44,RUNNING,4,11/13/2019,682,0,0,0,0,27.28,0,-27.28,-1,0,682,PAUSED,PB,1,No Sugg,0
45,RUNNING,0.187,11/17/2019,126,128,2,75619,37,27.2,37.5,10.3,0.378676471,0.2890625,0.001666248,RUNNING,GP1,2.30977891,Increase Bid 1,0.29296875
46,RUNNING,NA,11/13/2019,61,0,0,29027,0,26.95,0,-26.95,-1,0,0.002101492,PAUSED,PB,1,No Sugg,0
47,RUNNING,0.195,11/18/2019,125,114,0,27769,8,26.5,0,-26.5,-1,0.070175439,0.004501422,PAUSED,NC,1.146328307,No Sugg,0
48,RUNNING,6,11/13/2019,4,3,0,0,0,26.25,0,-26.25,-1,0,4,RUNNING,NED,1,No Sugg,0
49,RUNNING,0.01,11/19/2019,1983,0,0,109386,0,25.73,0,-25.73,-1,0,0.018128463,PAUSED,PB,1,No Sugg,0
50,RUNNING,0.376,11/18/2019,28,26,0,36285,2,25.03,0,-25.03,-1,0.076923077,0.000771669,PAUSED,NC,1.192158677,No Sugg,0
51,RUNNING,NA,11/13/2019,86,0,0,323876,0,24.6,0,-24.6,-1,0,0.000265534,PAUSED,PB,1,No Sugg,0
52,RUNNING,NA,11/11/2019,116,0,0,41324,0,24.36,0,-24.36,-1,0,0.002807085,PAUSED,PB,1,No Sugg,0
53,RUNNING,NA,11/12/2019,101,0,0,57732,0,24.14,0,-24.14,-1,0,0.001749463,PAUSED,PB,1,No Sugg,0
54,RUNNING,6,11/13/2019,4,4,0,0,0,24,0,-24,-1,0,4,RUNNING,NED,1,No Sugg,0
55,RUNNING,6,11/13/2019,4,4,0,0,0,24,0,-24,-1,0,4,RUNNING,NED,1,No Sugg,0
56,RUNNING,0.01,11/14/2019,1730,0,0,77677,0,23.86,0,-23.86,-1,0,0.022271715,PAUSED,PB,1,No Sugg,0
57,RUNNING,0.34,11/24/2019,67,67,2,36500,12,22.78,28,5.22,0.229148376,0.179104478,0.001835616,RUNNING,GP1,1.819159259,No Sugg,0.417910448
58,RUNNING,NA,11/13/2019,65,0,0,157100,0,22.75,0,-22.75,-1,0,0.000413749,PAUSED,PB,1,No Sugg,0
59,RUNNING,NA,11/20/2019,50,50,0,50,6,22.5,0,-22.5,-1,0.12,1,PAUSED,NC,2.611335635,No Sugg,0
60,RUNNING,0.32,11/13/2019,69,67,5,32126,11,22.08,70,47.92,2.170289855,0.164179104,0.002147793,RUNNING,GP1,1.74232752,Increase Bid 2,1.044776119
61,PAUSED,NA,11/22/2019,113,2,0,113,0,21.5,0,-21.5,-1,0,1,PAUSED,PB,1,No Sugg,0
62,RUNNING,NA,11/20/2019,67,0,0,20278,0,21.44,0,-21.44,-1,0,0.003304073,PAUSED,PB,1,No Sugg,0
63,RUNNING,0.353,11/18/2019,49,50,1,27156,10,21.4,25,3.6,0.168224299,0.2,0.001804389,RUNNING,GP1,1.922056068,Increase Bid 1,0.5
64,RUNNING,NA,11/13/2019,48,0,0,20297,0,21.33,0,-21.33,-1,0,0.002364882,PAUSED,PB,1,No Sugg,0
65,RUNNING,0.353,11/13/2019,57,60,1,35771,9,21.28,25,3.72,0.17481203,0.15,0.00159347,RUNNING,GP1,1.664881756,No Sugg,0.416666667
66,RUNNING,NA,11/12/2019,62,0,0,169598,0,21.18,0,-21.18,-1,0,0.00036557,PAUSED,PB,1,No Sugg,0
67,RUNNING,NA,11/12/2019,60,0,0,56329,0,21,0,-21,-1,0,0.001065171,PAUSED,PB,1,No Sugg,0
68,RUNNING,NA,11/12/2019,112,0,0,183926,0,20.64,0,-20.64,-1,0,0.000608941,PAUSED,PB,1,No Sugg,0
69,RUNNING,6,11/13/2019,3,3,0,0,0,20.25,0,-20.25,-1,0,3,RUNNING,NED,1,No Sugg,0
70,RUNNING,NA,11/13/2019,95,0,0,78067,0,20.03,0,-20.03,-1,0,0.001216903,PAUSED,PB,1,No Sugg,0
71,PAUSED,0.37,11/10/2019,49,0,0,2148,0,19.63,0,-19.63,-1,0,0.022811918,PAUSED,PB,1,No Sugg,0
72,RUNNING,NA,11/12/2019,14,0,0,21250,0,19.6,0,-19.6,-1,0,0.000658824,RUNNING,NED,1,No Sugg,0
73,RUNNING,0.232,11/13/2019,43,44,0,28415,5,19.25,0,-19.25,-1,0.113636364,0.001513285,PAUSED,NC,1.449580136,No Sugg,0
74,RUNNING,18.1,11/20/2019,105,107,1,0,32,19.01,9.5,-9.51,-0.500263019,0.299065421,105,RUNNING,NMT,2.354761229,No sugg,0.088785047
75,RUNNING,NA,11/13/2019,54,0,0,46669,0,18.9,0,-18.9,-1,0,0.001157085,PAUSED,PB,1,No Sugg,0
76,RUNNING,0.275,11/13/2019,67,65,3,17987,9,18.425,21,2.575,0.139755767,0.138461538,0.003724912,RUNNING,GP1,1.602809663,No Sugg,0.323076923
77,RUNNING,8.25,11/13/2019,3,3,0,0,0,18,0,-18,-1,0,3,RUNNING,NED,1,No Sugg,0
